site,DAP,avg_temp,min_temp,max_temp
1,0,16.991,5.932,27.16
1,1,20.023,10.23,29.83
1,2,20.364,16.77,24.1
1,3,22.696,19.53,27.62
1,4,24.567,20.67,30.19
1,5,23.374,19.26,28.93
1,6,20.554,15.27,25.06
1,7,21.276,15.37,27.86
1,8,23.644,18.47,31.33
1,9,24.262,17.75,31.07
1,10,22.857,17.18,26.32
1,11,18.061,11.81,25.22
1,12,19.253,11.65,27.78
1,13,20.237,11.71,29.05
1,14,19.654,11.48,26.48
1,15,21.309,16.94,27.45
1,16,20.881,13.93,28.86
1,17,17.697,13.2,24.64
1,18,18.749,11.14,26.44
1,19,19.742,10.08,28.17
1,20,21.463,13.26,29.28
1,21,21.561,16.76,27.85
1,22,20.594,18.1,26.51
1,23,21.039,18.08,25.54
1,24,21.429,17.76,26.03
1,25,19.074,13.07,25.25
1,26,19.272,12.27,27.15
1,27,20.019,10.45,28.76
1,28,20.357,11.22,28.54
1,29,21.774,12.84,28.9
1,30,21.395,15.53,28.66
1,31,22.319,17.52,29.44
1,32,23.14,16.36,30.58
1,33,22.451,15.75,30.37
1,34,23.264,14.8,32.07
1,35,24.646,17.77,32.21
1,36,24.883,18.49,32.95
1,37,25.2,18.81,33.94
1,38,26.691,20.19,34
1,39,26.835,20.51,34.27
1,40,26.668,20.5,34.73
1,41,25.242,20.72,31.53
1,42,20.921,16.15,24.26
1,43,19.555,12.54,26.93
1,44,18.034,10.56,25
1,45,19.522,9.7,27.61
1,46,22.718,13.63,32.1
1,47,23.191,13.5,31.77
1,48,24.056,16.87,30.74
1,49,25.643,18.76,32.8
1,50,25.196,18.62,32.37
1,51,24.258,17.93,32.99
1,52,25.07,17.95,31.93
1,53,24.332,16.37,31.32
1,54,24.87,17.37,32.92
1,55,24.777,21.31,32.24
1,56,25.655,20.83,31.91
1,57,26.206,21.16,32.3
1,58,23.533,19.45,30.09
1,59,25.371,19.75,31.38
1,60,24.988,18.83,30.64
1,61,23.678,15.8,31.04
1,62,24.268,15.84,32.94
1,63,24.673,16.31,32.55
1,64,23.766,15.89,31.59
1,65,24.677,17.76,31.46
1,66,25.257,17.52,33.72
1,67,26.059,19.82,33.79
1,68,26.626,21.09,34.71
1,69,26.946,20.15,35.48
1,70,27.284,20.73,35.88
1,71,28.432,20.69,35.66
1,72,27.664,22.14,36.76
1,73,28.209,22.44,35.72
1,74,27.314,22.55,35.15
1,75,24.455,22.33,29.32
1,76,27.498,24.01,32.11
1,77,28.977,22.94,35.64
1,78,27.614,22.9,34.64
1,79,27.261,22.42,33.92
1,80,27.949,21.94,34.44
1,81,27.189,22.81,34.51
1,82,28.717,22.48,36.38
1,83,29.778,24.45,35.75
2,0,18.034,10.56,25
2,1,19.522,9.7,27.61
2,2,22.718,13.63,32.1
2,3,23.191,13.5,31.77
2,4,24.056,16.87,30.74
2,5,25.643,18.76,32.8
2,6,25.196,18.62,32.37
2,7,24.258,17.93,32.99
2,8,25.07,17.95,31.93
2,9,24.332,16.37,31.32
2,10,24.87,17.37,32.92
2,11,24.777,21.31,32.24
2,12,25.655,20.83,31.91
2,13,26.206,21.16,32.3
2,14,23.533,19.45,30.09
2,15,25.371,19.75,31.38
2,16,24.988,18.83,30.64
2,17,23.678,15.8,31.04
2,18,24.268,15.84,32.94
2,19,24.673,16.31,32.55
2,20,23.766,15.89,31.59
2,21,24.677,17.76,31.46
2,22,25.257,17.52,33.72
2,23,26.059,19.82,33.79
2,24,26.626,21.09,34.71
2,25,26.946,20.15,35.48
2,26,27.284,20.73,35.88
2,27,28.432,20.69,35.66
2,28,27.664,22.14,36.76
2,29,28.209,22.44,35.72
2,30,27.314,22.55,35.15
2,31,24.455,22.33,29.32
2,32,27.498,24.01,32.11
2,33,28.977,22.94,35.64
2,34,27.614,22.9,34.64
2,35,27.261,22.42,33.92
2,36,27.949,21.94,34.44
2,37,27.189,22.81,34.51
2,38,28.717,22.48,36.38
2,39,29.778,24.45,35.75
2,40,29.006,23.89,34.61
2,41,26.514,23.03,33.48
2,42,26.806,23.25,32.22
2,43,24.814,22.19,32.61
2,44,25.455,21.44,30.82
2,45,24.954,19.39,30.8
2,46,25.068,16.05,32.48
2,47,27.062,18.2,34.4
2,48,29.283,21.08,36.21
2,49,29.985,23.86,36.34
2,50,29.24,23.15,36.53
2,51,27.795,22.64,33.59
2,52,27.497,20.55,36.24
2,53,28.059,21.82,36.04
2,54,29.143,23.32,35.57
2,55,27.162,22.64,33.95
2,56,26.41,22.24,32.13
2,57,26.719,23.15,31.37
2,58,28.449,23.5,34.43
2,59,29.174,23.3,35.47
2,60,28.722,23.53,34.73
2,61,28.918,22.77,36.03
2,62,28.9,22.17,36.02
2,63,29.629,22.79,36.59
2,64,29.624,23.18,36.81
2,65,29.019,22.58,36.99
2,66,28.926,22.07,35.92
2,67,28.105,23.05,36.87
2,68,28.144,21.43,37.49
2,69,28.354,22.5,36.02
2,70,27.187,22.79,36.59
2,71,26.37,21.56,34.47
2,72,26.451,21.48,35.22
2,73,27.104,21.86,32.67
2,74,27.222,21.57,36.52
2,75,28.837,21.53,36.78
2,76,28.809,22.74,37.28
2,77,28.218,22.63,37.06
2,78,28.476,21.83,36.51
2,79,28.458,21.54,37.41
2,80,27.086,20.55,36.44
